key,text,locations,ar,en,fr,ru,tr
"autogen.trip_not_found","Trip not found","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:40","Trip not found","Trip not found","Trip not found","Trip not found","Trip not found"
"autogen.trip_summary","Trip Summary","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:55","Trip Summary","Trip Summary","Trip Summary","Trip Summary","Trip Summary"
"autogen.try_as_guest","Try as Guest","waynest-FE\src\pages\guest\landing\LandingPage.jsx:253","Try as Guest","Try as Guest","Try as Guest","Try as Guest","Try as Guest"
"autogen.type","Type","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:146","Type","Type","Type","Type","Type"
"autogen.venue","Venue","waynest-FE\src\pages\guest\eventDetail\EventDetail.jsx:80","Venue","Venue","Venue","Venue","Venue"
"autogen.verify_your_email","Verify Your Email","waynest-FE\src\pages\auth\verifyEmail\VerifyEmail.jsx:24","Verify Your Email","Verify Your Email","Verify Your Email","Verify Your Email","Verify Your Email"
"autogen.view_count","View count","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:156","View count","View count","View count","View count","View count"
"autogen.view_details","View details","waynest-FE\src\pages\user\wishlist\Wishlist.jsx:62","View details","View details","View details","View details","View details"
"autogen.view_details_1","View Details","waynest-FE\src\components\public\card\Card.jsx:49","View Details","View Details","View Details","View Details","View Details"
"autogen.view_place","View Place","waynest-FE\src\components\trips\TripSlotCard.jsx:64","View Place","View Place","View Place","View Place","View Place"
"autogen.waynest","Waynest","waynest-FE\src\components\public\footer\GuestFooter.jsx:27 | waynest-FE\src\components\public\footer\GuestFooter.jsx:28 | waynest-FE\src\components\public\navbar\NavbarPublic.jsx:592","Waynest","Waynest","Waynest","Waynest","Waynest"
"autogen.we_re_optimizing_your_itinerary_to_maximize_value","We're optimizing your itinerary to maximize value","waynest-FE\src\components\trips\TripSkeleton.jsx:148","We're optimizing your itinerary to maximize value","We're optimizing your itinerary to maximize value","We're optimizing your itinerary to maximize value","We're optimizing your itinerary to maximize value","We're optimizing your itinerary to maximize value"
"autogen.where_do_you_want_to_go","Where do you want to go?","waynest-FE\src\pages\guest\landing\LandingPage.jsx:138","Where do you want to go?","Where do you want to go?","Where do you want to go?","Where do you want to go?","Where do you want to go?"
"autogen.you_don","You don","waynest-FE\src\pages\system\unauthorized\Unauthorized.jsx:25","You don","You don","You don","You don","You don"
"autogen.you_re_browsing_as_a_guest_log_in_to_save_your_plans","You're browsing as a guest. Log in to save your plans.","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:85","You're browsing as a guest. Log in to save your plans.","You're browsing as a guest. Log in to save your plans.","You're browsing as a guest. Log in to save your plans.","You're browsing as a guest. Log in to save your plans.","You're browsing as a guest. Log in to save your plans."
"autogen.your_way","Your Way","waynest-FE\src\pages\guest\landing\LandingPage.jsx:105","Your Way","Your Way","Your Way","Your Way","Your Way"
